muscle_2,muscle_4,muscle_8,muscle_9,muscle_15,muscle_14,muscle_3,muscle_12,muscle_24,muscle_22,muscle_21
0,0,0,0,0,0,0,0,0,0,0
0,0.1,0.1,0.1,0.1,0,0,0,0,0,0
0,0.2,0.2,0.2,0.2,0,0,0,0.1,0,0
0,0.3,0.3,0.3,0.3,0,0,0,0.2,0.1,0
0,0.4,0.4,0.4,0.4,0,0,0,0.3,0.2,0
0,0.4,0.4,0.4,0.4,0,0,0,0.4,0.3,0
0,0.4,0.4,0.4,0.3,0,0,0,0.3,0.4,0.1
0.1,0.4,0.4,0.4,0.2,0.1,0.1,0.1,0.2,0.3,0.2
0.2,0.4,0.3,0.3,0.1,0.2,0.2,0.2,0.1,0.2,0.3
0.3,0.4,0.2,0.2,0,0.3,0.3,0.3,0,0.1,0.4
0.4,0.4,0.1,0.1,0,0.4,0.4,0.4,0,0,0.3
0.4,0.3,0.1,0.1,0,0.3,0.4,0.4,0,0,0.2
0.4,0.2,0.1,0.1,0,0.2,0.4,0.4,0,0,0.1
0.3,0.1,0.1,0.1,0,0.1,0.3,0.3,0,0,0
0.2,0.05,0.05,0.05,0,0.05,0.2,0.2,0,0,0
0.1,0.05,0.05,0.05,0,0.05,0.1,0.1,0,0,0
0.05,0.05,0.05,0.05,0,0.05,0.05,0.05,0,0,0
